currentTick,NO_CHANGE,DIE,QUARANTINE,RECOVER,NO_INFECTIOUS,SINFECTED 
50,19470,36,0,253,75,166
51,19424,39,0,277,77,183
52,19383,40,0,309,87,181
53,19337,42,0,339,87,195
54,19290,44,0,371,93,202
55,19242,53,0,402,95,208
56,19192,65,0,434,98,211
57,19148,75,0,455,94,228
58,19088,82,0,494,104,232
59,19037,93,0,524,111,235
60,18989,108,0,555,99,249
61,18921,121,0,589,116,253
62,18864,128,0,630,125,253
63,18805,136,0,672,116,271
64,18738,141,0,711,126,284
65,18684,149,0,763,121,283
66,18610,155,0,808,128,299
67,18557,167,0,844,127,305
68,18490,184,0,895,120,311
69,18420,195,0,941,137,307
70,18364,206,0,989,126,315
71,18284,224,0,1038,136,318
72,18220,238,0,1078,144,320
73,18133,262,0,1128,151,326
74,18063,279,0,1164,157,337
75,17981,297,0,1213,152,357
76,17904,320,0,1260,159,357
77,17824,334,0,1302,157,383
78,17739,350,0,1366,165,380
79,17651,361,0,1419,173,396
80,17582,376,0,1491,157,394
81,17489,390,0,1547,162,412
82,17415,401,0,1618,167,399
83,17325,413,0,1683,164,415
84,17239,425,0,1751,176,409
85,17146,435,0,1826,179,414
86,17043,448,0,1901,196,412
87,16957,459,0,1959,189,436
88,16853,476,0,2035,190,446
89,16753,489,0,2096,204,458
90,16657,499,0,2176,196,472
91,16547,513,0,2248,206,486
92,16451,535,0,2319,206,489
93,16347,559,0,2398,200,496
94,16233,575,0,2468,218,506
95,16131,598,0,2549,216,506
96,16007,614,0,2633,226,520
97,15902,631,0,2712,229,526
98,15794,655,0,2798,213,540
99,15687,672,0,2877,215,549
100,15573,694,0,2959,221,553
101,15449,709,87,3034,238,483
102,15340,719,103,3091,233,514
103,15220,738,129,3169,229,515
104,15100,759,182,3228,240,491
105,14987,782,219,3289,233,490
106,14853,799,246,3338,247,517
107,14735,819,282,3391,252,521
108,14604,839,326,3461,249,521
109,14479,858,366,3520,256,521
110,14347,875,395,3578,257,548
111,14208,901,448,3643,271,529
112,14083,924,482,3705,264,542
113,13944,946,521,3761,264,564
114,13808,964,552,3819,275,582
115,13670,993,598,3885,274,580
116,13521,1019,660,3947,287,566
117,13401,1042,698,4007,269,583
118,13258,1058,731,4079,263,611
119,13119,1071,755,4147,282,626
120,12985,1097,801,4226,273,618
121,12841,1123,848,4309,278,601
122,12686,1146,898,4386,299,585
123,12537,1167,930,4457,304,605
124,12385,1181,956,4528,301,649
125,12247,1196,988,4612,290,667
126,12088,1208,1011,4721,297,675
127,11939,1219,1035,4811,308,688
128,11783,1231,1054,4921,305,706
129,11628,1252,1091,5032,311,686
130,11470,1281,1140,5122,313,674
131,11295,1302,1184,5225,333,661
132,11139,1317,1211,5309,331,693
133,10977,1335,1241,5401,318,728
134,10801,1361,1284,5490,338,726
135,10643,1380,1324,5590,334,729
136,10457,1399,1361,5684,344,755
137,10295,1433,1422,5767,348,735
138,10121,1462,1471,5874,336,736
139,9959,1488,1516,5957,336,744
140,9789,1512,1560,6052,332,755
141,9636,1533,1603,6149,323,756
142,9467,1550,1637,6251,322,773
143,9311,1577,1678,6360,325,749
144,9141,1615,1751,6455,326,712
145,8994,1639,1808,6553,317,689
146,8818,1654,1832,6629,323,744
147,8677,1674,1869,6727,317,736
148,8512,1701,1918,6827,306,736
149,8365,1731,1973,6933,312,686
150,8210,1755,2015,7018,302,700
151,8076,1776,2063,7112,289,684
152,7909,1795,2093,7200,301,702
153,7775,1811,2130,7312,301,671
154,7610,1825,2159,7409,299,698
155,7460,1842,2182,7516,315,685
156,7308,1862,2211,7617,302,700
157,7157,1897,2275,7709,303,659
158,6999,1916,2313,7796,309,667
159,6863,1938,2350,7888,294,667
160,6716,1959,2384,7966,283,692
161,6568,1985,2433,8056,295,663
162,6409,2019,2489,8138,307,638
163,6261,2039,2530,8223,307,640
164,6116,2063,2574,8303,293,651
165,5965,2084,2616,8389,296,650
166,5812,2101,2646,8473,304,664
167,5667,2111,2665,8569,298,690
168,5530,2138,2704,8660,282,686
169,5397,2165,2761,8760,270,647
170,5264,2186,2799,8850,266,635
171,5141,2209,2844,8922,256,628
172,5006,2236,2889,8998,258,613
173,4881,2258,2929,9088,258,586
174,4757,2282,2980,9162,247,572
175,4626,2305,3016,9240,255,558
176,4501,2323,3044,9318,256,558
177,4368,2337,3076,9391,258,570
178,4263,2355,3107,9462,238,575
179,4135,2368,3131,9551,233,582
180,4031,2384,3160,9629,232,564
181,3911,2404,3191,9710,224,560
182,3811,2424,3229,9795,220,521
183,3704,2454,3269,9855,207,511
184,3599,2478,3318,9915,212,478
185,3495,2493,3337,9965,209,501
186,3395,2518,3378,10033,204,472
187,3294,2542,3417,10085,201,461
188,3191,2551,3443,10165,204,446
189,3087,2560,3458,10223,207,465
190,2998,2573,3474,10291,193,471
191,2893,2584,3500,10365,194,464
192,2808,2598,3523,10435,190,446
193,2712,2608,3538,10500,181,461
194,2620,2629,3581,10556,188,426
195,2540,2640,3599,10624,172,425
196,2449,2654,3624,10678,171,424
197,2360,2664,3645,10737,180,414
198,2282,2678,3666,10804,167,403
199,2191,2685,3683,10859,169,413
200,2125,2693,3698,10925,157,402
